date,home,away,home-points,away-points
201,HPU,Delaware,15,10
207,HPU,Duke,13,16
207,Lehigh,Marquette,9,10
207,PSU,Vermont,15,8
207,UNC,Furman,19,4
207,Bryant,Colgate,5,9
207,JHU,UMBC,16,4
207,Loyola,Virginia,12,13
207,Michigan,Bellarmine,16,9
207,Richmond,St-Josephs,9,5
207,St-Johns,Rutgers,8,10
207,SBU,Manhattan,19,3
207,Delaware,Bucknell,12,11
207,Detroit,OSU,9,8
207,Massachusetts,Army,7,12
207,Syracuse,Siena,21,7
207,BU,Mercer,18,6
208,Duke,AF,13,7
208,Navy,VMI,21,7
209,Army,VMI,24,3
210,Towson,JHU,7,5
210,UNC,HPU,15,9
210,OSU,RMU,10,6
213,Siena,Hobart,8,12
213,Wagner,Lafayette,5,10
214,RMU,Bellarmine,10,13
214,Bucknell,Bryant,7,5
214,Furman,Lehigh,11,14
214,AF,Marist,6,7
214,BU,Canisius,13,9
214,Fairfield,HCU,9,10
214,Hofstra,Marquette,10,11
214,Loyola,PSU,8,6
214,Navy,Maryland,1,8
214,ND,Georgetown,14,12
214,Richmond,Rutgers,15,7
214,St-Josephs,HPU,12,11
214,UNC,Massachusetts,20,8
214,VMI,MSM,8,11
214,Yale,UMass-Lowell,19,4
214,Duke,Denver,13,17
214,Princeton,Manhattan,14,4
214,St-Johns,SBU,13,8
214,Penn,UMBC,10,8
214,Vermont,Colgate,8,10
214,Villanova,JHU,10,13
214,Virginia,Drexel,14,10
214,Michigan,Detroit,15,6
215,Jacksonville,Army,4,20
215,OSU,Delaware,10,3
215,Mercer,Duke,6,16
215,Syracuse,Cornell,14,6
217,St-Josephs,Penn,10,11
218,Towson,Loyola,11,15
218,Providence,Fairfield,6,10
220,SBU,NJIT,18,4
220,Hobart,Cornell,8,16
221,Denver,AF,16,6
221,Lehigh,BU,10,9
221,Fairfield,Manhattan,15,4
221,Loyola,HCU,12,13
221,Monmouth,UMBC,2,4
221,Navy,Bucknell,7,8
221,Bryant,Hartford,11,9
221,Colgate,Lafayette,12,10
221,Drexel,Albany,8,15
221,HPU,SHU,13,5
221,OSU,Dartmouth,15,5
221,Providence,Vermont,12,9
221,Rutgers,Virginia,5,14
221,UMass-Lowell,Siena,9,13
221,Villanova,PSU,11,7
221,Yale,Maryland,10,6
221,Canisius,Furman,8,9
221,Michigan,ND,8,17
221,Detroit,RMU,11,10
221,Brown,Quinnipiac,17,6
221,UNC,JHU,13,11
221,Harvard,Massachusetts,14,13
221,Princeton,Hofstra,14,12
221,Jacksonville,St-Johns,12,11
222,AF,Canisius,13,6
222,Georgetown,Towson,6,9
222,Richmond,Marquette,10,11
222,Binghamton,Marist,9,12
222,Denver,Furman,10,5
222,Syracuse,Army,12,9
224,Binghamton,Cornell,10,17
224,Drexel,Villanova,11,14
224,MSM,Delaware,10,11
224,Rutgers,Wagner,13,10
224,Hofstra,Manhattan,18,0
224,Mercer,Siena,8,15
224,Maryland,Penn,11,7
225,Providence,BU,7,4
225,VMI,St-Josephs,3,11
227,MSM,Towson,4,7
227,Detroit,Marquette,6,12
227,UNC,Denver,12,10
227,Bellarmine,OSU,7,8
228,HPU,RMU,13,10
228,Army,Lafayette,14,3
228,Binghamton,Hobart,10,11
228,Duke,Harvard,21,14
228,Furman,AF,4,6
228,Georgetown,Hofstra,13,11
228,NJIT,Quinnipiac,3,10
228,PSU,Penn,14,11
228,Rutgers,Monmouth,9,10
228,SBU,Fairfield,10,9
228,Maryland,Drexel,12,3
