date,home,away,home-points,away-points
206,Furman,OSU,7,8
206,Lehigh,NJIT,21,4
206,Navy,AF,10,6
206,PSU,RMU,20,7
206,Bryant,Manhattan,16,3
206,BU,Providence,9,5
206,Jacksonville,Vermont,17,16
206,UNC,Michigan,20,10
206,Bucknell,Delaware,13,5
209,Navy,JHU,11,12
212,BU,UMass-Lowell,8,5
212,Delaware,MSM,11,14
212,Army,Massachusetts,9,5
212,Rutgers,St-Johns,19,11
212,Wagner,Manhattan,15,8
212,Lafayette,SHU,8,12
212,Providence,HCU,12,8
212,Towson,Mercer,11,2
212,Duke,HPU,17,6
213,OSU,Detroit,16,5
213,Hampton,Roberts-Wesleyan,3,20
213,AF,Denver,9,10
213,Bellarmine,RMU,11,10
213,Syracuse,Siena,18,5
213,UNC,Furman,14,6
213,Virginia,Loyola,4,11
213,PSU,Hobart,17,12
214,Bryant,Bucknell,10,11
214,Duke,Lehigh,13,11
214,Michigan,Colgate,9,8
214,Jacksonville,Monmouth,5,11
215,Fairfield,Richmond,10,11
216,NJIT,Vermont,5,19
216,HPU,BU,10,13
216,SBU,SHU,17,8
218,St-Johns,Jacksonville,7,8
219,Lafayette,Wagner,12,7
220,Furman,Lehigh,7,15
220,RMU,Manhattan,19,6
220,Georgetown,ND,7,12
220,Fairfield,Bucknell,8,13
220,Harvard,Villanova,13,12
220,Marist,AF,6,7
220,Quinnipiac,Brown,7,20
220,Massachusetts,OSU,16,9
220,UMBC,Richmond,5,7
220,Maryland,HPU,15,10
220,BU,Hartford,10,16
220,Colgate,Binghamton,11,4
220,Drexel,Virginia,7,14
220,Loyola,JHU,9,8
220,Mercer,Detroit,9,8
220,Marquette,Bellarmine,9,7
220,Providence,Bryant,10,12
220,SHU,Dartmouth,10,8
220,St-Josephs,VMI,15,5
220,UMass-Lowell,Yale,7,17
220,Duke,Denver,12,14
220,Towson,MSM,9,5
220,UNC,Hofstra,5,10
220,Army,Rutgers,11,13
220,Cornell,PSU,7,8
220,HCU,Vermont,8,14
220,Princeton,NJIT,21,4
220,Penn,Michigan,12,10
220,Hobart,Siena,12,9
221,Army,VMI,22,3
221,Navy,Delaware,5,1
221,SBU,St-Johns,14,6
221,Syracuse,Albany,16,7
223,Wagner,Monmouth,4,8
223,Harvard,HCU,11,10
223,Richmond,MSM,9,6
223,Mercer,Siena,12,11
223,Virginia,HPU,11,12
224,ND,Bellarmine,11,6
226,OSU,UMBC,12,7
227,AF,Dartmouth,9,3
227,RMU,HPU,10,15
227,Albany,Drexel,20,14
227,Bellarmine,Quinnipiac,6,12
227,Colgate,Bucknell,11,10
227,Lehigh,HCU,12,11
227,Richmond,Marquette,2,7
227,St-Josephs,Manhattan,16,9
227,Towson,Georgetown,10,7
227,BU,Navy,10,9
227,Hartford,Bryant,11,16
227,Jacksonville,Duke,5,18
227,Loyola,Lafayette,12,8
227,PSU,Villanova,9,19
227,Siena,UMass-Lowell,11,7
