date,home,away,home-points,away-points
201,Furman,Lehigh,6,13
201,Delaware,HPU,10,3
206,Virginia,Loyola,14,13
208,Army,Massachusetts,5,6
208,Towson,HPU,11,8
208,Lehigh,Marquette,13,6
208,Navy,VMI,18,5
208,Maryland,MSM,16,3
208,AF,Denver,8,14
208,Colgate,Bryant,7,4
208,Duke,Jacksonville,16,10
208,Mercer,BU,17,6
208,PSU,Michigan,22,7
208,Richmond,Virginia,12,13
208,Rutgers,Manhattan,13,5
208,Bucknell,Delaware,6,4
209,JHU,OSU,10,9
209,Furman,UNC,4,19
210,Syracuse,Siena,19,7
212,Georgetown,MSM,10,4
214,SBU,Marist,12,13
214,Michigan,Mercer,20,7
215,AF,Furman,15,6
215,BU,Canisius,3,9
215,Hofstra,Marquette,9,11
215,Navy,Georgetown,8,9
215,Bellarmine,RMU,10,7
215,Colgate,Vermont,13,3
215,Duke,Denver,14,10
215,Hobart,Siena,7,12
215,PSU,Loyola,11,12
215,Delaware,Fairfield,8,18
215,Maryland,UMBC,14,3
215,JHU,Towson,15,8
216,Drexel,Virginia,10,11
216,SHU,Binghamton,6,8
216,UNC,Manhattan,21,5
216,VMI,Army,6,15
216,HPU,St-Josephs,9,7
216,Richmond,Hartford,11,19
216,St-Johns,HCU,15,13
216,Bryant,Bucknell,12,9
216,Lehigh,Villanova,7,6
216,Detroit,Mercer,11,10
216,Syracuse,Albany,17,16
216,Jacksonville,ND,7,19
216,OSU,Massachusetts,11,12
218,Wagner,Rutgers,5,20
218,SBU,Lafayette,18,10
219,Loyola,Towson,20,4
219,Detroit,Michigan,13,14
221,Duke,Penn,9,6
222,AF,Canisius,6,7
222,Princeton,Hofstra,12,10
222,Binghamton,Siena,9,13
222,Furman,Army,2,12
222,JHU,Michigan,14,5
222,Lafayette,Colgate,8,7
222,Mercer,Richmond,11,7
222,OSU,Marquette,11,8
222,Quinnipiac,Brown,6,13
222,St-Josephs,VMI,14,6
222,Towson,Georgetown,8,7
222,Albany,Drexel,13,14
222,BU,Lehigh,7,10
222,Cornell,Hobart,12,8
222,Fairfield,Manhattan,18,4
222,Hartford,Bryant,5,7
222,HCU,Loyola,4,16
222,SHU,HPU,10,12
222,Syracuse,Maryland,8,16
222,Delaware,MSM,15,5
222,Massachusetts,Harvard,8,4
222,UMBC,Monmouth,10,8
222,Vermont,Providence,6,8
222,Denver,Marist,15,9
222,Yale,St-Johns,10,6
222,Jacksonville,Bellarmine,4,8
222,UNC,Dartmouth,18,5
222,Bucknell,Navy,9,6
222,ND,PSU,7,8
222,Virginia,Rutgers,19,12
223,AF,Marist,17,9
223,Duke,SBU,14,6
223,RMU,Detroit,11,7
223,Denver,Canisius,14,3
225,Hofstra,Fairfield,9,7
225,Vermont,Dartmouth,13,8
225,Binghamton,Cornell,8,14
225,Harvard,HCU,17,9
225,MSM,Virginia,6,14
225,BU,Providence,7,10
225,Manhattan,Princeton,8,14
225,Penn,St-Josephs,14,4
225,Villanova,Drexel,11,10
226,Wagner,Monmouth,7,6
301,Navy,HCU,21,12
301,Lafayette,Army,6,8
301,Albany,Harvard,14,8
301,BU,Vermont,9,13
301,Hofstra,Georgetown,9,8
301,HPU,Jacksonville,8,7
301,Lehigh,Loyola,7,14
301,Princeton,JHU,9,15
301,Maryland,Duke,10,6
301,UNC,ND,10,11
301,VMI,Detroit,6,8
301,Bellarmine,Furman,13,7
301,Brown,Massachusetts,2,15
301,Bryant,Yale,8,9
301,Colgate,Bucknell,9,8
301,Drexel,RMU,18,12
301,Hobart,Binghamton,10,11
301,Manhattan,Hartford,7,12
301,Marist,Marquette,16,12
301,Michigan,Cornell,14,15
301,OSU,PSU,8,11
301,SHU,Dartmouth,10,14
301,St-Johns,Siena,14,9
301,Towson,MSM,9,1
301,Delaware,Villanova,11,9
301,UMBC,Richmond,14,5
301,Penn,Denver,12,10
301,Wagner,St-Josephs,8,12
301,Providence,Quinnipiac,9,16
301,SBU,Rutgers,12,9
301,Virginia,Syracuse,17,12
302,VMI,AF,6,4
304,Detroit,Bellarmine,8,12
304,Monmouth,St-Josephs,6,11
304,Colgate,Hobart,7,5
304,Cornell,Canisius,19,6
304,Drexel,St-Johns,16,11
304,Fairfield,Providence,11,14
304,Harvard,Quinnipiac,10,8
304,Richmond,HCU,9,11
304,Delaware,Lafayette,9,6
304,Army,Rutgers,8,9
305,Brown,Hartford,12,7
305,VMI,Vermont,7,18
305,HPU,Michigan,9,7
307,Princeton,UNC,11,13
307,Marist,Towson,9,12
307,Navy,Lafayette,11,3
308,Army,HCU,13,3
308,Bucknell,Lehigh,3,9
308,Cornell,Virginia,12,9
308,Furman,Michigan,9,11
308,Georgetown,Harvard,7,15
308,AF,Bellarmine,13,9
308,Binghamton,Delaware,9,10
308,Bryant,Drexel,12,6
308,BU,Colgate,5,7
308,Denver,ND,10,7
308,Hartford,Siena,10,11
308,Hofstra,OSU,7,5
308,HPU,VMI,9,8
308,Richmond,Vermont,12,11
308,SHU,Providence,11,10
308,SBU,Maryland,8,11
308,Massachusetts,Albany,10,25
308,UMBC,JHU,8,15
308,Wagner,Detroit,8,9
308,Jacksonville,Marquette,9,8
308,Fairfield,Yale,12,11
308,Brown,Hobart,13,10
308,Syracuse,St-Johns,14,8
308,Villanova,Penn,11,12
308,Rutgers,Monmouth,20,4
309,RMU,St-Josephs,8,11
309,Manhattan,MSM,8,7
309,Loyola,Duke,14,7
310,Denver,PSU,15,11
311,Monmouth,Bryant,7,12
311,Massachusetts,Providence,16,11
311,UNC,Bucknell,20,4
311,SBU,SHU,14,13
311,Canisius,Hobart,10,11
311,Duke,Marquette,20,9
311,Georgetown,Furman,16,9
311,Towson,Navy,14,9
311,Yale,Lehigh,10,2
311,UMBC,Mercer,15,6
312,Siena,RMU,9,10
312,Hartford,Quinnipiac,6,3
314,Maryland,Villanova,12,10
315,HCU,Bucknell,8,18
315,HPU,UMBC,17,15
315,Jacksonville,AF,12,15
315,JHU,Syracuse,10,12
315,MSM,Drexel,6,9
315,PSU,Massachusetts,6,8
315,Quinnipiac,Manhattan,10,7
315,Detroit,Marquette,10,15
315,Albany,Bryant,11,12
315,Bellarmine,Michigan,10,11
315,Binghamton,Colgate,9,10
315,Cornell,Yale,11,9
315,Denver,OSU,9,5
315,Fairfield,SBU,15,13
315,Hobart,RMU,8,6
315,Loyola,Army,7,6
315,Providence,Rutgers,6,12
315,SHU,Hartford,10,12
315,St-Johns,Georgetown,15,7
315,St-Josephs,Richmond,7,4
315,Wagner,Vermont,10,11
315,Duke,UNC,9,8
315,Lehigh,Navy,13,2
315,Canisius,Monmouth,5,4
315,Hofstra,Delaware,11,9
315,Princeton,Penn,15,12
315,Siena,Marist,9,8
315,Lafayette,BU,7,12
315,Harvard,Brown,16,10
315,Mercer,VMI,8,3
316,ND,Virginia,18,9
317,Rutgers,Richmond,10,7
318,Fairfield,Massachusetts,11,5
318,St-Johns,Hofstra,11,10
318,Colgate,Cornell,10,15
318,Michigan,Maryland,5,13
318,PSU,Dartmouth,10,6
318,SBU,Manhattan,12,8
318,Furman,Duke,4,19
318,Towson,UMBC,10,8
318,UNC,Harvard,13,10
318,Villanova,Princeton,6,14
318,VMI,Wagner,6,7
319,Bucknell,Brown,13,8
319,Georgetown,Loyola,9,10
321,OSU,Bellarmine,10,7
321,Richmond,Wagner,14,7
322,Army,Lehigh,6,5
322,MSM,UMBC,7,17
322,Navy,Colgate,7,10
322,RMU,Jacksonville,13,9
322,Yale,Princeton,16,15
322,Bryant,Hobart,15,8
322,Bucknell,BU,7,3
322,Denver,Rutgers,17,11
322,Harvard,Dartmouth,16,7
322,HPU,Mercer,9,10
322,Loyola,Lafayette,21,4
322,Marist,Quinnipiac,13,8
322,Marquette,Villanova,8,10
322,PSU,Albany,10,17
322,Siena,Monmouth,8,3
322,SBU,St-Johns,11,13
322,Massachusetts,Hartford,12,6
322,Penn,Cornell,9,17
322,Vermont,SHU,13,9
322,UNC,Maryland,11,8
322,HCU,Fairfield,9,11
322,Michigan,St-Josephs,6,15
322,Drexel,Hofstra,9,11
322,Virginia,JHU,11,10
322,Brown,Providence,12,11
322,Towson,Delaware,11,8
323,Canisius,Detroit,6,8
323,Duke,Syracuse,21,7
323,Binghamton,AF,8,10
324,Virginia,VMI,21,3
325,Albany,Canisius,10,14
325,MSM,RMU,8,15
325,OSU,ND,7,13
325,Hartford,HCU,8,13
325,Marist,Brown,11,13
325,Providence,Bryant,6,7
325,St-Josephs,Drexel,10,14
326,Villanova,Georgetown,13,8
326,Lehigh,Monmouth,13,7
328,Lafayette,Mercer,8,9
328,UMBC,SBU,12,11
329,Duke,Harvard,17,11
329,Georgetown,Denver,9,17
329,Army,Bucknell,11,6
329,Colgate,Loyola,8,10
329,Furman,HPU,7,15
329,MSM,Hobart,5,8
329,Rutgers,Marquette,13,14
329,Syracuse,ND,11,10
329,Detroit,Quinnipiac,9,10
329,AF,Michigan,15,12
329,Bellarmine,Fairfield,3,9
329,BU,Navy,7,13
329,Dartmouth,Cornell,4,19
329,Marist,Manhattan,13,14
329,RMU,SHU,7,9
329,Yale,Penn,5,6
329,Delaware,Drexel,7,9
329,Bryant,Richmond,9,6
329,Hartford,Binghamton,10,11
329,JHU,UNC,9,13
329,Lehigh,HCU,20,4
329,PSU,Villanova,7,9
329,OSU,Jacksonville,13,2
329,Brown,Princeton,11,10
329,Siena,Canisius,10,7
329,Albany,Vermont,20,9
329,Providence,St-Johns,7,14
329,Hofstra,Towson,9,7
330,Maryland,Virginia,9,6
330,Wagner,Mercer,5,16
401,Fairfield,Bucknell,10,6
401,Manhattan,Delaware,5,10
401,Monmouth,Lafayette,5,9
401,Marquette,Bellarmine,7,10
401,Providence,Yale,5,8
401,St-Josephs,MSM,10,5
401,SBU,Quinnipiac,11,12
402,Maryland,RMU,19,6
402,Rutgers,St-Johns,16,13
402,SHU,Bryant,5,14
402,Syracuse,Binghamton,10,8
404,JHU,Albany,13,8
404,Villanova,Denver,8,9
405,Detroit,Marist,12,11
405,AF,Mercer,19,6
405,BU,Army,7,8
405,Canisius,Manhattan,9,4
405,Furman,Richmond,10,13
405,Navy,Loyola,6,7
405,ND,Duke,7,15
405,Massachusetts,Towson,5,6
405,Dartmouth,Yale,10,16
405,Hobart,SHU,9,10
405,HCU,Lafayette,10,5
405,Jacksonville,VMI,14,5
405,SBU,Vermont,10,7
405,Penn,Brown,10,8
405,Wagner,RMU,7,12
405,Drexel,PSU,13,12
405,Lehigh,Colgate,11,7
405,St-Josephs,Bryant,9,7
405,Cornell,Harvard,9,14
405,Georgetown,Providence,10,8
405,Monmouth,Quinnipiac,9,17
405,UNC,Virginia,11,10
405,Bucknell,MSM,16,6
405,Michigan,Fairfield,8,9
405,Bellarmine,HPU,10,9
405,Hofstra,Siena,7,6
405,Princeton,Rutgers,15,11
406,Delaware,OSU,9,15
406,Hartford,Albany,11,15
406,St-Johns,Marquette,10,11
406,Binghamton,UMBC,13,7
408,Hartford,Dartmouth,12,7
408,Marquette,ND,7,12
408,Cornell,Syracuse,9,14
408,Harvard,BU,14,9
408,HCU,SHU,11,12
408,Hofstra,Marist,15,10
408,Lafayette,Manhattan,7,8
408,Princeton,Lehigh,10,9
411,Virginia,Duke,15,17
411,Brown,Yale,6,7
411,Wagner,Hobart,6,15
411,Bucknell,Lafayette,13,1
412,OSU,Michigan,15,6
412,AF,Fairfield,16,8
412,Quinnipiac,Canisius,10,11
412,Detroit,Siena,8,9
412,VMI,Furman,12,13
412,Bryant,MSM,9,7
412,Colgate,HCU,11,9
412,Hofstra,Cornell,10,9
412,Jacksonville,Mercer,14,12
412,Loyola,BU,15,6
412,Marquette,Providence,7,6
412,ND,RMU,15,5
412,Princeton,Dartmouth,13,10
412,Richmond,HPU,7,11
412,Delaware,St-Josephs,9,12
412,Penn,Harvard,8,7
412,Vermont,Binghamton,6,9
412,Army,Navy,14,7
412,JHU,Maryland,11,6
412,Denver,St-Johns,16,9
412,UMBC,Hartford,16,11
412,Drexel,Massachusetts,13,9
412,Syracuse,UNC,11,10
412,Albany,SBU,17,7
412,Georgetown,Lehigh,3,12
412,Manhattan,Monmouth,11,6
412,Rutgers,Villanova,11,15
412,Towson,PSU,1,8
414,MSM,JHU,2,17
415,Quinnipiac,Fairfield,10,15
415,Binghamton,Canisius,9,5
415,SHU,Wagner,16,8
417,Loyola,Bucknell,13,5
418,Colgate,Army,7,8
418,HPU,UNC,8,12
418,Lafayette,Lehigh,6,17
418,Navy,JHU,5,6
419,Cornell,Brown,14,9
419,MSM,Wagner,9,5
419,ND,Maryland,8,12
419,Providence,Denver,6,14
419,Quinnipiac,Siena,11,18
419,Binghamton,SBU,14,11
419,Dartmouth,Penn,3,9
419,Duke,Rutgers,17,8
419,Harvard,Princeton,9,8
419,Manhattan,Detroit,6,5
419,Monmouth,Marist,9,12
419,OSU,AF,8,6
419,PSU,Delaware,10,6
419,RMU,Bryant,6,13
419,St-Johns,Villanova,11,10
419,St-Josephs,SHU,21,9
419,Virginia,Bellarmine,12,8
419,Canisius,VMI,19,7
419,Marquette,Georgetown,11,10
419,Hobart,Syracuse,9,15
419,UMBC,Albany,14,18
419,Michigan,Yale,7,13
419,HCU,BU,8,9
419,Hartford,Vermont,11,7
419,Mercer,Furman,9,8
419,Towson,Drexel,7,13
419,Massachusetts,Hofstra,6,11
420,Richmond,Jacksonville,13,12
422,Colgate,Bucknell,10,9
422,Albany,Siena,19,11
422,Brown,Bryant,13,10
422,Lehigh,Navy,10,6
422,Towson,Penn,9,15
422,Yale,Quinnipiac,14,11
423,JHU,Villanova,13,7
425,Loyola,Colgate,12,6
425,Duke,Syracuse,15,16
425,SBU,Hartford,14,10
425,Delaware,Massachusetts,15,7
425,Penn,St-Johns,17,10
425,HPU,Drexel,8,11
425,Maryland,ND,5,6
425,Army,Lehigh,11,12
426,Denver,Marquette,17,9
426,Furman,Jacksonville,11,13
426,Georgetown,Rutgers,8,12
426,Michigan,RMU,19,10
426,PSU,Hofstra,8,7
426,Quinnipiac,AF,15,10
426,VMI,Richmond,7,6
426,Bryant,Wagner,15,7
426,Fairfield,OSU,7,5
426,Hobart,St-Josephs,8,15
426,Monmouth,Detroit,6,11
426,SHU,MSM,14,10
426,Villanova,Providence,10,11
426,Yale,Harvard,10,11
426,Cornell,Princeton,12,10
426,Vermont,UMBC,14,17
426,Brown,Dartmouth,12,8
426,Mercer,Bellarmine,6,13
426,Albany,Binghamton,21,7
426,Manhattan,Siena,7,8
426,Marist,Canisius,13,7
426,UNC,Virginia,11,13
427,Loyola,Lehigh,16,7
427,Syracuse,ND,14,15
429,Dartmouth,HCU,17,12
430,Hofstra,Delaware,8,6
501,Drexel,Towson,11,10
501,HPU,Jacksonville,12,11
501,Siena,Canisius,14,11
501,St-Josephs,Hobart,9,10
501,Denver,Rutgers,14,7
501,Binghamton,UMBC,10,16
501,Fairfield,Michigan,12,5
501,Marist,Detroit,11,9
501,Mercer,Richmond,6,14
501,Villanova,Marquette,9,6
501,Bryant,SHU,12,8
501,SBU,Albany,16,17
501,OSU,AF,7,14
502,Cornell,Penn,10,11
502,Harvard,Yale,10,9
503,Albany,UMBC,20,11
503,Marist,Siena,7,11
503,Loyola,JHU,13,10
503,ND,Army,18,17
503,Bryant,Hobart,10,4
503,HPU,Richmond,7,8
503,Maryland,Navy,12,6
503,Syracuse,Colgate,19,6
503,Villanova,Denver,7,14
503,Fairfield,AF,8,9
503,Hofstra,Drexel,10,11
504,Harvard,Penn,5,7
504,BU,Duke,11,16
507,Bryant,Siena,9,8
507,AF,Richmond,13,5
510,Loyola,Albany,6,13
510,ND,Harvard,13,5
510,Maryland,Cornell,8,7
510,Denver,UNC,9,5
511,Virginia,JHU,8,14
511,Penn,Drexel,11,16
511,Duke,AF,20,9
511,Syracuse,Bryant,9,10
517,Maryland,Bryant,16,8
517,ND,Albany,14,13
518,Duke,JHU,19,11
518,Denver,Drexel,15,6
524,Duke,Denver,15,12
524,Maryland,ND,6,11
526,Duke,ND,11,9

