date,home,away,home-points,away-points
202,HPU,Delaware,10,12
208,HPU,Towson,9,7
208,JHU,Siena,15,6
208,UNC,AF,16,8
209,Duke,Denver,12,14
209,Mercer,Rollins,13,3
209,Michigan,PSU,6,11
209,Navy,VMI,20,7
209,OSU,Detroit,14,8
209,RMU,Bellarmine,8,9
209,Delaware,Bucknell,8,9
210,Bryant,Colgate,13,14
210,Duke,Jacksonville,21,9
210,HPU,AF,4,14
210,Lehigh,St-Josephs,14,1
210,Rutgers,Manhattan,15,6
210,Massachusetts,Army,16,9
212,Maryland,MSM,23,6
213,Army,Manhattan,14,8
215,Navy,Detroit,11,7
215,Wagner,Providence,6,17
216,Army,VMI,14,8
216,Bellarmine,Michigan,12,6
216,Bryant,Fairfield,6,8
216,Duke,ND,5,13
216,Georgetown,Lafayette,10,11
216,Hartford,Maryland,4,16
216,HCU,St-Johns,9,11
216,Hofstra,SHU,14,9
216,HPU,St-Josephs,5,8
216,Marist,SBU,13,9
216,RMU,UMBC,12,9
216,Rutgers,AF,9,11
216,Siena,Hobart,15,18
216,Towson,JHU,6,12
216,Delaware,Loyola,8,9
216,Massachusetts,UNC,12,11
216,Virginia,Drexel,13,12
216,Vermont,Colgate,7,13
216,Villanova,Lehigh,9,11
217,Duke,Mercer,15,3
217,Jacksonville,OSU,6,9
217,MSM,Bucknell,12,11
217,PSU,Denver,15,12
217,Syracuse,Albany,15,16
219,Fairfield,Navy,10,9
219,Lafayette,SBU,10,12
219,Rutgers,Wagner,20,10
219,Virginia,VMI,18,4
220,Towson,Loyola,9,14
222,Penn,Duke,14,9
223,AF,Canisius,10,8
223,Bellarmine,HPU,12,5
223,Brown,Quinnipiac,7,9
223,Bucknell,Bryant,10,8
223,Dartmouth,Colgate,10,13
223,Denver,Lehigh,18,10
223,Drexel,Albany,20,19
223,Harvard,Massachusetts,6,8
223,HCU,Hartford,11,9
223,Hofstra,Princeton,7,10
223,JHU,Michigan,17,8
223,Loyola,Maryland,10,12
223,Manhattan,Lafayette,11,7
223,Marist,SHU,15,12
223,MSM,Delaware,15,12
223,OSU,Marquette,18,8
223,Providence,Vermont,13,5
223,RMU,Detroit,9,5
223,Siena,Binghamton,9,8
223,St-Johns,Yale,10,9
223,SBU,Virginia,7,13
223,St-Josephs,VMI,10,3
223,UMBC,Rutgers,11,7
223,UNC,Fairfield,10,9
224,AF,Lehigh,15,10
224,Cornell,Hobart,19,11
224,Denver,Canisius,11,4
224,Georgetown,Navy,9,8
224,PSU,ND,9,10
224,Syracuse,Army,6,2
224,Towson,Mercer,9,8
226,Cornell,Binghamton,11,6
226,Dartmouth,Vermont,13,8
226,Drexel,Villanova,12,10
226,Fairfield,Hofstra,2,9
226,Harvard,HCU,16,12
226,Loyola,UMBC,21,9
226,St-Johns,SBU,7,11
226,Penn,St-Josephs,6,5
226,Virginia,MSM,18,11
226,Wagner,Lafayette,9,13
301,JHU,Princeton,8,11
301,Syracuse,Virginia,9,8
302,AF,Marquette,6,8
302,Albany,Yale,8,15
302,Army,Michigan,12,1
302,Binghamton,Hobart,6,2
302,Bucknell,Navy,11,2
302,Cornell,Colgate,19,3
302,Denver,Penn,15,12
302,Duke,Maryland,7,16
302,Fairfield,UMBC,14,9
302,Georgetown,Dartmouth,10,9
302,Hofstra,Harvard,10,5
302,Jacksonville,HPU,9,8
302,Lafayette,Marist,5,8
302,Lehigh,VMI,18,2
302,Loyola,Bellarmine,8,6
302,MSM,Towson,5,13
302,ND,UNC,10,9
302,Providence,Manhattan,12,9
302,PSU,OSU,9,10
302,RMU,Drexel,12,13
302,Rutgers,SBU,12,13
302,SHU,HCU,9,11
302,Siena,St-Johns,11,12
302,St-Josephs,Wagner,10,4
302,Detroit,Quinnipiac,10,12
302,Massachusetts,Brown,8,9
302,Vermont,Bryant,6,5
302,Villanova,Delaware,14,9
305,Albany,Massachusetts,15,9
305,Bellarmine,Detroit,10,4
305,Canisius,Cornell,7,18
305,Hobart,Colgate,9,8
305,JHU,MSM,19,9
305,Lafayette,Delaware,9,11
305,Lehigh,Penn,4,6
305,Princeton,Villanova,14,11
305,Rutgers,HCU,8,9
305,SHU,Yale,6,14
305,SBU,Siena,11,9
305,Virginia,Vermont,12,10
306,Hartford,Brown,4,14
306,HPU,Michigan,13,10
306,St-Josephs,Mercer,9,10
308,Duke,Loyola,9,8
308,JHU,UMBC,13,7
308,Quinnipiac,Vermont,10,6
308,Towson,Marist,9,10
309,Bellarmine,AF,11,10
309,Brown,St-Josephs,17,9
309,Bucknell,Massachusetts,7,4
309,Canisius,Albany,11,12
309,Colgate,HCU,14,6
309,Dartmouth,RMU,11,9
309,Drexel,Bryant,11,5
309,Harvard,Georgetown,8,6
309,Hobart,Michigan,11,7
309,Jacksonville,Marquette,13,7
309,Lehigh,PSU,12,10
309,MSM,Manhattan,16,7
309,Navy,Lafayette,12,11
309,ND,Hofstra,7,8
309,OSU,Denver,9,10
309,Providence,SHU,12,10
309,Rutgers,Army,8,10
309,Siena,Hartford,14,15
309,Syracuse,St-Johns,13,11
309,Delaware,Binghamton,8,9
309,UNC,Princeton,16,15
309,Penn,Villanova,13,9
309,Virginia,Cornell,11,12
309,Wagner,Mercer,11,12
309,Yale,Fairfield,12,8
310,Maryland,SBU,13,7
312,Bucknell,Drexel,17,8
312,Colgate,Binghamton,12,5
312,Hobart,Canisius,12,8
312,Jacksonville,RMU,6,11
312,Mercer,Marquette,11,14
312,MSM,Georgetown,14,6
312,Navy,Towson,7,8
312,Princeton,Manhattan,15,2
312,Quinnipiac,Providence,12,13
312,Wagner,VMI,18,12
313,UNC,Duke,8,11
314,Fairfield,Michigan,10,8
316,AF,Loyola,7,13
316,Army,Lehigh,6,10
316,Bellarmine,Mercer,12,5
316,Binghamton,Manhattan,13,6
316,Brown,Harvard,11,9
316,Bryant,Albany,15,17
316,Denver,ND,12,13
316,Drexel,MSM,14,11
316,Duke,Towson,12,4
316,Georgetown,Providence,16,8
316,Jacksonville,Siena,11,10
316,Lafayette,Bucknell,6,13
316,Marist,Detroit,11,8
316,Quinnipiac,Hartford,10,11
316,SHU,SBU,10,12
316,St-Johns,Rutgers,20,13
316,St-Josephs,Marquette,12,7
316,Syracuse,JHU,13,8
316,Delaware,Hofstra,5,10
316,Massachusetts,PSU,5,7
316,UMBC,HPU,16,11
316,Penn,Princeton,11,10
316,Virginia,OSU,10,11
316,Vermont,Wagner,15,6
316,Villanova,Maryland,7,10
316,VMI,Canisius,7,10
316,Yale,Cornell,10,12
317,Colgate,Michigan,10,7
317,HCU,Navy,7,5
317,RMU,Hobart,16,12
318,Duke,Marist,19,11
318,UNC,Dartmouth,13,5
319,Binghamton,PSU,7,11
319,Cornell,Bucknell,8,9
319,Fairfield,Quinnipiac,11,10
319,Providence,Syracuse,9,18
319,St-Johns,Hofstra,7,6
319,UMBC,Towson,9,12
320,Georgetown,Loyola,8,13
320,Harvard,Bryant,7,5
320,Hartford,SHU,10,7
320,Lehigh,Massachusetts,4,6
320,Manhattan,Mercer,12,11
320,ND,OSU,9,4
322,Princeton,Yale,10,9
322,Delaware,Towson,6,7
323,Albany,Bucknell,12,18
323,Army,Lafayette,15,6
323,Bellarmine,OSU,7,9
323,Binghamton,Quinnipiac,11,9
323,Canisius,Marist,5,13
323,Cornell,Penn,10,5
323,Dartmouth,Harvard,6,9
323,Duke,Georgetown,19,7
323,Hartford,Massachusetts,11,13
323,Hobart,Fairfield,10,13
323,HCU,Lehigh,5,8
323,Hofstra,Drexel,7,8
323,JHU,Virginia,15,8
323,Manhattan,Jacksonville,7,10
323,Michigan,Loyola,3,10
323,Navy,Colgate,3,11
323,Providence,Siena,11,13
323,PSU,St-Josephs,9,2
323,RMU,St-Johns,11,17
323,SHU,Vermont,7,8
323,SBU,Bryant,9,10
323,Detroit,VMI,11,6
323,UMBC,MSM,10,8
323,Maryland,UNC,8,10
323,Villanova,Syracuse,11,10
324,HPU,Brown,8,21
324,Rutgers,ND,6,7
326,Bryant,Providence,9,10
326,Bucknell,PSU,3,11
326,Cornell,Siena,17,9
326,Denver,AF,11,10
326,Harvard,Albany,7,16
326,Hofstra,Dartmouth,11,9
326,Vermont,HCU,5,8
327,Drexel,St-Josephs,16,3
327,HPU,Lafayette,9,10
327,UNC,Brown,18,12
329,Georgetown,Marquette,17,12
329,Syracuse,Canisius,17,5
330,Binghamton,Albany,8,21
330,Bryant,Quinnipiac,17,7
330,Bucknell,HCU,16,9
330,Cornell,Dartmouth,21,5
330,Drexel,Delaware,11,10
330,Fairfield,Bellarmine,7,8
330,Harvard,Duke,11,12
330,Hartford,UMBC,15,14
330,Hobart,Denver,5,14
330,Jacksonville,Detroit,9,8
330,Lehigh,Navy,12,7
330,Marist,VMI,23,5
330,Michigan,AF,6,10
330,MSM,SHU,5,14
330,ND,St-Johns,10,12
330,OSU,Loyola,4,9
