,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,03/05/2016,Boston U.,L 8 - 10,8,4,12,37,18,7,20,7,240,"3,600",10,13,13,15,0.867
1,03/08/2016,"Vermont @ Oshawa, Ontario",W 11 - 6,11,7,18,41,21,11,19,3,180,"3,600",6,6,21,22,0.955
2,03/15/2016,Hobart and William Smith,L 7 - 8 (2OT),7,6,13,41,16,9,19,1,30,"3,909",8,10,18,24,0.750
3,03/19/2016,@ Siena,W 12 - 9,12,6,18,35,23,15,24,4,210,"3,600",9,9,12,15,0.800
4,03/26/2016,@ Marist,L 10 - 13,10,8,18,30,19,13,27,2,120,"3,600",13,9,12,14,0.857
5,04/02/2016,Monmouth,L 6 - 11,6,4,10,35,20,12,21,2,120,"3,600",11,12,10,15,0.667
6,04/09/2016,Manhattan,W 13 - 11,13,10,23,42,26,14,27,1,30,"3,600",11,6,14,15,0.933
7,04/12/2016,@ Binghamton,L 12 - 13,12,6,18,34,24,17,29,2,120,"3,600",13,12,13,16,0.812
8,04/16/2016,@ Quinnipiac,L 9 - 17,9,4,13,29,22,12,30,2,90,"3,600",17,11,8,11,0.727
9,04/19/2016,Robert Morris,L 6 - 15,6,6,12,27,10,9,25,1,30,"3,600",15,14,18,24,0.750
10,04/23/2016,Detroit Mercy,W 9 - 5,9,6,15,33,18,10,17,3,150,"3,600",5,12,16,17,0.941
11,05/05/2016,@ Quinnipiac,L 7 - 13,7,5,12,36,25,13,22,5,210,"3,600",13,6,11,12,0.917
