,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/13/2016,@ Virginia,W 11 - 4,11,7,18,33,21,7,17,1,60,"3,600",4,14,22,26,0.846
1,02/20/2016,Johns Hopkins,W 9 - 8,9,6,15,45,25,8,21,2,120,"3,600",8,10,14,16,0.875
2,02/27/2016,Lafayette,W 12 - 8,12,6,18,37,24,13,24,3,180,"3,600",8,6,12,14,0.857
3,03/02/2016,Towson,L 8 - 10,8,4,12,41,24,9,21,4,150,"3,600",10,7,14,15,0.933
4,03/05/2016,@ Holy Cross,W 10 - 9,10,8,18,44,25,15,23,5,240,"3,600",9,8,11,11,1.000/
5,03/12/2016,Duke,L 6 - 15,6,2,8,36,14,5,24,5,300,"3,600",15,11,12,14,0.857
6,03/19/2016,@ Navy,L 9 - 10,9,3,12,35,15,10,23,3,150,"3,600",10,4,15,15,1.000/
7,03/23/2016,@ Georgetown,W 10 - 7,10,6,16,45,21,14,20,5,240,"3,600",7,9,14,16,0.875
8,03/26/2016,Bucknell,W 14 - 3,14,10,24,48,29,13,21,2,90,"3,600",3,14,15,19,0.789
9,04/03/2016,@ Colgate,W 12 - 4,12,5,17,47,24,15,19,3,120,"3,600",4,10,15,17,0.882
10,04/09/2016,@ Lehigh,W 11 - 10,11,6,17,28,21,15,24,2,90,"3,600",10,14,17,17,1.000/
11,04/16/2016,Boston U.,W 13 - 12,13,8,21,47,28,12,28,4,180,"3,600",12,7,13,14,0.929
12,04/22/2016,Army West Point,W 12 - 6,12,7,19,41,20,11,22,3,180,"3,600",6,12,16,18,0.889
13,04/29/2016,"Bucknell @ Annapolis, Md.",W 7 - 6 (2OT),7,4,11,43,15,15,8,11,17,"4,075/",6,11,22,24,0.917
14,05/01/2016,"Army West Point @ Annapolis, Md.",W 14 - 6,14,10,24,37,19,15,23,6,360,"3,600",6,10,17,19,0.895
15,05/14/2016,Duke,W 16 - 11,16,11,27,43,26,8,31,1,30,"3,600",11,16,17,19,0.895
16,05/22/2016,"Towson @ Columbus, Ohio",W 10 - 8,10,2,12,36,18,15,22,2,120,"3,600",8,5,14,14,1.000/
17,05/28/2016,"North Carolina @ Philadelphia, Pa.",L 13 - 18,13,6,19,39,20,16,35/,2,120,"3,600",18,9,13,16,0.812
