,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/18/2017,@ Jacksonville,W 17 - 1,17,8,25,40,31,12,22,2,60,"3,600",1,12,17,20,0.850
1,02/25/2017,@ Richmond,L 2 - 9,2,2,26,18,28,7,13,4,210,"3,600",9,15,16,18,0.889
2,03/03/2017,Ohio St.,L 6 - 12,6,3,9,25,14,6,22,4,210,"3,600",12,18/,16,19,0.842
3,03/05/2017,Detroit Mercy,W 8 - 6,8,3,11,34,20,10,18,5,270,"3,600",6,13,15,16,0.938
4,03/11/2017,@ Robert Morris,W 14 - 7,14,8,22,45,28,14,25,2,60,"3,600",7,11,16,19,0.842
5,03/25/2017,@ Georgetown,W 11 - 10,11,3,14,32,21,12,25,3,90,"3,600",10,14,14,18,0.778
6,03/28/2017,Air Force,W 7 - 6,7,5,12,30,14,8,17,4,210,"3,600",6,6,10,12,0.833
7,04/01/2017,@ Villanova,L 9 - 10 (1OT),9,4,13,35,20,12,21,5,210,"3,749",10,8,14,15,0.933
8,04/08/2017,St. John's (NY),W 17 - 9,17,3,20,47,27,21,30,2,90,"3,600",9,3,9,9,1.000/
9,04/11/2017,@ Notre Dame,L 10 - 11,10,8,18,38,22,18,25,1,60,"3,600",11,8,12,13,0.923
10,04/15/2017,@ Providence,L 7 - 9,7,4,11,39,15,8,19,1,60,"3,600",9,4,11,12,0.917
11,04/22/2017,Duke,L 7 - 11,7,5,12,33,20,10,22,2,60,"3,600",11,13,16,16,1.000/
12,04/29/2017,Denver,L 8 - 16,8,4,12,38,21,5,10,28,3,180,"3,600",16,11,12,0.917
13,05/04/2017,"Denver @ Providence, R.I.",W 11 - 8,11,4,15,30,19,12,5,8,22,"3,600",8,12,24,26,0.923
14,05/06/2017,@ Providence,W 10 - 9,10,5,15,31,18,4,23,3,90,"3,600",9,11,22,24,0.917
15,05/14/2017,@ Notre Dame,L 9 - 15,9,6,15,35,21,19,28,1,60,"3,600",15,8,16,21,0.762
