,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,@ Loyola Maryland,W 16 - 15,16,11,27,40,21,16,35,3,120,"3,600",15,11,20,25/,0.800
1,02/18/2017,Drexel,W 18 - 14,18,11,29,56,30,23,36,3,150,"3,600",14,6,17,18,0.944
2,02/21/2017,Siena,W 20 - 13,20,15,35,52,31,19,38,1,60,"3,600",13,14,22,25/,0.880
3,02/25/2017,@ Penn,L 10 - 11,10,5,15,48,26,14,24,5,300,"3,600",11,10,17,19,0.895
4,03/01/2017,High Point,W 18 - 12,18,16/,34,51,37/,25/,33,5,210,"3,600",12,12,22,25/,0.880
5,03/05/2017,@ Syracuse,L 13 - 14,13,6,19,41,25,17,31,4,150,"3,600",14,8,14,15,0.933
6,03/11/2017,"Cornell @ Costa Mesa, Calif.",W 19 - 18 (1OT),19,13,32,58/,34,19,39/,4,180,"3,679",18,8,19,20,0.950
7,03/18/2017,Notre Dame,L 10 - 11 (1OT),10,6,16,42,24,15,24,3,120,"3,754/",11,7,18,22,0.818
8,03/25/2017,@ Johns Hopkins,L 17 - 18 (1OT),17,10,27,41,27,18,39/,5,180,"3,658",18,16,14,16,0.875
9,04/01/2017,@ Richmond,W 8 - 7,8,5,13,41,24,7,19,6,300,"3,600",7,12,20,20,1.000/
10,04/04/2017,Cleveland St.,W 20 - 7,20,14,34,54,36,21,30,4,210,"3,600",7,10,19,21,0.905
11,04/09/2017,North Carolina,L 12 - 15,12,5,17,40,25,7,30,5,210,"3,600",15,15,20,22,0.909
12,04/11/2017,Robert Morris,W 13 - 7,13,9,22,49,32,17,24,6,240,"3,600",7,21/,25/,25/,1.000/
13,04/15/2017,@ Duke,L 11 - 20,11,5,16,40,22,17,35,4,180,"3,600",20/,10,13,19,0.684
14,04/29/2017,"Penn @ Durham, N.C.",L 11 - 17,11,6,17,42,23,12,32,3,120,"3,600",17,12,10,12,0.833
